Time,RA_corrected(mas),Dec_corrected(mas),RadialVelocity
8039.452871,-0.302510,-24.359074,-36933.831414
16078.905741,-0.395731,-24.781639,-63734.219085
24118.358612,-0.571101,-22.677675,-90326.044881
32157.811482,-0.881877,-23.220509,-116618.441071
40197.264353,-1.049573,-22.380906,-142521.563112
48236.717223,-1.122191,-22.482124,-167946.896663
56276.170094,-1.332761,-20.640774,-192807.560049
64315.622965,-1.325184,-19.651236,-217018.601145
72355.075835,-1.487350,-19.133662,-240497.287671
80394.528706,-1.788271,-21.714511,-263163.389897
88433.981576,-1.863896,-16.487825,-284939.454800
96473.434447,-1.986005,-14.466989,-305751.070731
104512.887317,-1.926231,-16.467428,-325527.121687
112552.340188,-2.235708,-14.320683,-344200.030328
120591.793059,-2.262688,-12.105097,-361705.988893
128631.245929,-2.495528,-10.760134,-377985.177241
136670.698800,-2.727639,-11.120123,-392981.967266
144710.151670,-2.559820,-9.602645,-406645.112984
152749.604541,-2.634098,-9.487166,-418927.925646
160789.057411,-2.578648,-6.182779,-429788.433282
168828.510282,-2.713355,-8.095953,-439189.524123
176867.963153,-2.885511,-5.634269,-447099.073416
184907.416023,-2.891507,-5.950423,-453490.053204
192946.868894,-2.812627,-3.602062,-458340.624674
200986.321764,-2.939464,-1.432879,-461634.212792
209025.774635,-2.859480,-1.452721,-463359.562940
217065.227505,-2.895955,1.689483,-463510.779371
225104.680376,-2.960725,3.292542,-462087.345359
233144.133246,-2.999626,1.441590,-459094.124962
241183.586117,-2.773693,2.400552,-454541.346406
249223.038988,-2.715213,7.771547,-448444.567127
257262.491858,-2.758297,9.673009,-440824.620614
265301.944729,-2.723708,7.224339,-431707.545217
273341.397599,-2.559617,8.460539,-421124.495169
281380.850470,-2.588905,10.725162,-409111.634130
289420.303340,-2.495129,13.182539,-395710.011612
297459.756211,-2.478418,14.445021,-380965.422704
305499.209082,-2.249083,14.144907,-364928.251586
313538.661952,-2.078411,14.124419,-347653.299360
321578.114823,-2.033547,15.040978,-329199.596788
329617.567693,-1.798062,16.564367,-309630.202574
337657.020564,-1.725335,17.632899,-289011.987888
345696.473434,-1.676474,19.096692,-267415.407853
353735.926305,-1.537109,19.354368,-244914.260797
361775.379176,-1.297467,20.841307,-221585.436068
369814.832046,-1.047273,21.134156,-197508.651300
377854.284917,-1.162392,22.302259,-172766.180000
385893.737787,-0.723278,21.448076,-147442.570417
393933.190658,-0.740298,23.791513,-121624.356621
401972.643528,-0.576302,22.887241,-95399.762811
410012.096399,-0.402123,22.454027,-68858.401839
418051.549270,-0.210406,23.569855,-42090.968993
426091.002140,0.037187,22.006798,-15188.932076
434130.455011,0.089811,22.541653,11755.781149
442169.907881,0.255653,23.075830,38651.097087
450209.360752,0.488130,24.653524,65405.110940
458248.813622,0.816329,22.014692,91926.400761
466288.266493,0.798826,21.314472,118124.339847
474327.719364,0.924616,22.403924,143909.406430
482367.172234,1.150410,19.443631,169193.489578
490406.625105,1.281234,21.200691,193890.190287
498446.077975,1.455426,18.838297,217915.116714
506485.530846,1.761788,17.994264,241186.172558
514524.983716,1.738418,19.841663,263623.837589
522564.436587,1.893272,17.502906,285151.439384
530603.889458,1.898267,17.955770,305695.415325
538643.342328,2.038990,14.963621,325185.563971
546682.795199,2.231159,17.146910,343555.284944
554722.248069,2.425007,12.945970,360741.806517
562761.700940,2.362303,10.324364,376686.400107
570801.153810,2.587914,11.461528,391334.580962
578840.606681,2.618497,7.627826,404636.294339
586880.059552,2.869491,9.503767,416546.086552
594919.512422,2.819072,7.860959,427023.260290
602958.965293,2.825079,5.980945,436032.013686
610998.418163,2.831148,4.833620,443541.562657
619037.871034,2.919206,2.450549,449526.246095
627077.323904,2.865300,2.970783,453965.613557
635116.776775,2.885493,0.354960,456844.495148
643156.229645,2.811847,-0.666164,458153.053354
651195.682516,2.878619,-3.375958,457886.816661
659235.135387,2.916913,-1.177620,456046.694834
667274.588257,2.732462,-3.482083,452638.975810
675314.041128,2.783511,-4.073767,447675.304207
683353.493998,2.773953,-8.269869,441172.641540
691392.946869,2.705145,-6.381141,433153.208251
699432.399739,2.569937,-13.017938,423644.407790
707471.852610,2.532322,-12.299481,412678.732966
715511.305481,2.551622,-11.614829,400293.654918
723550.758351,2.502157,-13.488556,386531.495070
731590.211222,2.309815,-13.682169,371439.280515
739629.664092,2.287754,-15.646665,355068.583315
747669.116963,2.048029,-16.636439,337475.344274
755708.569833,1.872781,-16.768488,318719.681783
763748.022704,1.859063,-14.397133,298865.686381
771787.475575,1.624510,-19.043747,277981.201756
779826.928445,1.550851,-20.017415,256137.592913
787866.381316,1.275713,-19.399414,233409.502307
795905.834186,1.284236,-19.797934,209874.594783
803945.287057,1.124971,-19.207662,185613.292187
811984.739927,0.864151,-21.290427,160708.498547
820024.192798,0.773331,-21.199453,135245.316788
828063.645669,0.660691,-21.748011,109310.757917
836103.098539,0.392818,-22.797804,82993.443699
844142.551410,0.368058,-23.281157,56383.303824
852182.004280,0.120465,-22.099230,29571.268606
860221.457151,0.040904,-23.271538,2648.958261
868260.910021,-0.116156,-22.528632,-24291.630171
876300.362892,-0.622856,-21.747981,-51158.437192
884339.815763,-0.648350,-24.085038,-77859.655421
892379.268633,-0.813515,-22.941823,-104304.043321
900418.721504,-0.707371,-20.334626,-130401.236972
908458.174374,-1.042990,-19.702617,-156062.058867
916497.627245,-1.072113,-21.230694,-181198.822635
924537.080115,-1.232253,-20.724067,-205725.632680
932576.532986,-1.400040,-18.118075,-229558.677699
940615.985857,-1.674748,-16.456847,-252616.517073
948655.438727,-1.627416,-17.667328,-274820.359162
956694.891598,-2.044996,-16.993893,-296094.330547
964734.344468,-1.921970,-17.173953,-316365.735296
972773.797339,-2.137444,-14.247858,-335565.303380
980813.250209,-2.398823,-15.571815,-353627.427373
988852.703080,-2.395078,-11.440524,-370490.386648
996892.155950,-2.516370,-12.799320,-386096.558274
1004931.608821,-2.459696,-9.859838,-400392.613933
1012971.061692,-2.605386,-8.961807,-413329.702139
1021010.514562,-2.644017,-11.077283,-424863.615178
1029049.967433,-2.807363,-7.212480,-434954.940166
1037089.420303,-2.803794,-5.724902,-443569.193732
1045128.873174,-2.847045,-8.396727,-450676.939851
1053168.326044,-2.662416,-2.499274,-456253.890427
1061207.778915,-3.018549,-3.762876,-460280.988294
1069247.231786,-2.930171,-0.251900,-462744.472334
1077286.684656,-2.829883,-0.773385,-463635.924503
1085326.137527,-3.125808,1.301477,-462952.298591
1093365.590397,-2.979724,4.428047,-460695.930637
1101405.043268,-3.007936,5.062035,-456874.530944
1109444.496138,-2.828679,6.954225,-451501.157734
1117483.949009,-2.815957,6.667509,-444594.172521
1125523.401880,-2.630531,8.058769,-436177.177374
1133562.854750,-2.527838,9.107485,-426278.934262
