Time,RA(mas),Dec(mas),RadialVelocity
8039.452871,-0.308742,-24.451207,-36933.831414
16078.905741,-0.408196,-24.965906,-63734.219085
24118.358612,-0.589798,-22.954075,-90326.044881
32157.811482,-0.906807,-23.589043,-116618.441071
40197.264353,-1.080735,-22.841573,-142521.563112
48236.717223,-1.159586,-23.034925,-167946.896663
56276.170094,-1.376388,-21.285708,-192807.560049
64315.622965,-1.375044,-20.388304,-217018.601145
72355.075835,-1.543442,-19.962863,-240497.287671
80394.528706,-1.850596,-22.635846,-263163.389897
88433.981576,-1.932453,-17.501293,-284939.454800
96473.434447,-2.060795,-15.572591,-305751.070731
104512.887317,-2.007253,-17.665163,-325527.121687
112552.340188,-2.322963,-15.610552,-344200.030328
120591.793059,-2.356175,-13.487099,-361705.988893
128631.245929,-2.595248,-12.234270,-377985.177241
136670.698800,-2.833591,-12.686392,-392981.967266
144710.151670,-2.672005,-11.261048,-406645.112984
152749.604541,-2.752515,-11.237702,-418927.925646
160789.057411,-2.703298,-8.025449,-429788.433282
168828.510282,-2.844237,-10.030756,-439189.524123
176867.963153,-3.022626,-7.661206,-447099.073416
184907.416023,-3.034854,-8.069493,-453490.053204
192946.868894,-2.962207,-5.813266,-458340.624674
200986.321764,-3.095276,-3.736216,-461634.212792
209025.774635,-3.021525,-3.848192,-463359.562940
217065.227505,-3.064232,-0.798121,-463510.779371
225104.680376,-3.135235,0.712804,-462087.345359
233144.133246,-3.180368,-1.230281,-459094.124962
241183.586117,-2.960668,-0.363452,-454541.346406
249223.038988,-2.908420,4.915409,-448444.567127
257262.491858,-2.957737,6.724738,-440824.620614
265301.944729,-2.929380,4.183934,-431707.545217
273341.397599,-2.771522,5.328001,-421124.495169
281380.850470,-2.807042,7.500490,-409111.634130
289420.303340,-2.719499,9.865734,-395710.011612
297459.756211,-2.709020,11.036082,-380965.422704
305499.209082,-2.485918,10.643835,-364928.251586
313538.661952,-2.321478,10.531213,-347653.299360
321578.114823,-2.282847,11.355639,-329199.596788
329617.567693,-2.053594,12.786894,-309630.202574
337657.020564,-1.987100,13.763293,-289011.987888
345696.473434,-1.944471,15.134952,-267415.407853
353735.926305,-1.811339,15.300495,-244914.260797
361775.379176,-1.577929,16.695300,-221585.436068
369814.832046,-1.333968,16.896016,-197508.651300
377854.284917,-1.455319,17.971985,-172766.180000
385893.737787,-1.022437,17.025669,-147442.570417
393933.190658,-1.045690,19.276972,-121624.356621
401972.643528,-0.887926,18.280567,-95399.762811
410012.096399,-0.719980,17.755219,-68858.401839
418051.549270,-0.534495,18.778914,-42090.968993
426091.002140,-0.293135,17.123723,-15188.932076
434130.455011,-0.246743,17.566445,11755.781149
442169.907881,-0.087134,18.008488,38651.097087
450209.360752,0.139111,19.494049,65405.110940
458248.813622,0.461077,16.763083,91926.400761
466288.266493,0.437342,15.970730,118124.339847
474327.719364,0.556899,16.968048,143909.406430
482367.172234,0.776461,13.915622,169193.489578
490406.625105,0.901052,15.580549,193890.190287
498446.077975,1.069012,13.126021,217915.116714
506485.530846,1.369141,12.189855,241186.172558
514524.983716,1.339539,13.945120,263623.837589
522564.436587,1.488160,11.514230,285151.439384
530603.889458,1.486923,11.874960,305695.415325
538643.342328,1.621413,8.790678,325185.563971
546682.795199,1.807350,10.881833,343555.284944
554722.248069,1.994965,6.588760,360741.806517
562761.700940,1.926029,3.875020,376686.400107
570801.153810,2.145407,4.920051,391334.580962
578840.606681,2.169758,0.994215,404636.294339
586880.059552,2.414519,2.778023,416546.086552
594919.512422,2.357868,1.043081,427023.260290
602958.965293,2.357642,-0.929066,436032.013686
610998.418163,2.357479,-2.168525,443541.562657
619037.871034,2.439304,-4.643729,449526.246095
627077.323904,2.379166,-4.215629,453965.613557
635116.776775,2.393126,-6.923585,456844.495148
643156.229645,2.313248,-8.036843,458153.053354
651195.682516,2.373787,-10.838770,457886.816661
659235.135387,2.405849,-8.732566,456046.694834
667274.588257,2.215165,-11.129162,452638.975810
675314.041128,2.259982,-11.812980,447675.304207
683353.493998,2.244191,-16.101215,441172.641540
691392.946869,2.169151,-14.304621,433153.208251
699432.399739,2.027710,-21.033551,423644.407790
707471.852610,1.983863,-20.407228,412678.732966
715511.305481,1.996930,-19.814709,400293.654918
723550.758351,1.941233,-21.780569,386531.495070
731590.211222,1.742658,-22.066316,371439.280515
739629.664092,1.714365,-24.122945,355068.583315
747669.116963,1.468407,-25.204853,337475.344274
755708.569833,1.286927,-25.429035,318719.681783
763748.022704,1.266977,-23.149814,298865.686381
771787.475575,1.026191,-27.888561,277981.201756
779826.928445,0.946300,-28.954363,256137.592913
787866.381316,0.664929,-28.428495,233409.502307
795905.834186,0.667220,-28.919149,209874.594783
803945.287057,0.501722,-28.421010,185613.292187
811984.739927,0.234670,-30.595909,160708.498547
820024.192798,0.137617,-30.597068,135245.316788
828063.645669,0.018745,-31.237760,109310.757917
836103.098539,-0.255361,-32.379686,82993.443699
844142.551410,-0.286353,-32.955173,56383.303824
852182.004280,-0.540179,-31.865379,29571.268606
860221.457151,-0.625972,-33.129821,2648.958261
868260.910021,-0.789265,-32.479048,-24291.630171
876300.362892,-1.302197,-31.790531,-51158.437192
884339.815763,-1.333924,-34.219721,-77859.655421
892379.268633,-1.505321,-33.168640,-104304.043321
900418.721504,-1.405410,-30.653576,-130401.236972
908458.174374,-1.747261,-30.113701,-156062.058867
916497.627245,-1.782617,-31.733911,-181198.822635
924537.080115,-1.948989,-31.319418,-205725.632680
932576.532986,-2.123009,-28.805559,-229558.677699
940615.985857,-2.403949,-27.236465,-252616.517073
948655.438727,-2.362850,-28.539079,-274820.359162
956694.891598,-2.786662,-27.957778,-296094.330547
964734.344468,-2.669869,-28.229971,-316365.735296
972773.797339,-2.891575,-25.396009,-335565.303380
980813.250209,-3.159187,-26.812100,-353627.427373
988852.703080,-3.161674,-22.772942,-370490.386648
996892.155950,-3.289199,-24.223872,-386096.558274
1004931.608821,-3.238757,-21.376523,-400392.613933
1012971.061692,-3.390680,-20.570626,-413329.702139
1021010.514562,-3.435543,-22.778235,-424863.615178
1029049.967433,-3.605122,-19.005566,-434954.940166
1037089.420303,-3.607785,-17.610121,-443569.193732
1045128.873174,-3.657269,-20.374080,-450676.939851
1053168.326044,-3.478872,-14.568760,-456253.890427
1061207.778915,-3.841238,-15.924496,-460280.988294
1069247.231786,-3.759092,-12.505653,-462744.472334
1077286.684656,-3.665037,-13.119272,-463635.924503
1085326.137527,-3.967194,-11.136543,-462952.298591
1093365.590397,-3.827343,-8.102107,-460695.930637
1101405.043268,-3.861787,-7.560252,-456874.530944
1109444.496138,-3.688763,-5.760196,-451501.157734
1117483.949009,-3.682273,-6.139045,-444594.172521
1125523.401880,-3.503080,-4.839919,-436177.177374
1133562.854750,-3.406619,-3.883336,-426278.934262
1141602.307621,-3.367039,-1.603004,-414933.266769
1149641.760491,-3.148144,-1.192030,-402178.944520
1157681.213362,-3.349903,1.700334,-388059.550695
1165720.666232,-3.132419,1.427270,-372623.333100
1173760.119103,-3.052712,3.509479,-355923.039302
1181799.571974,-2.873986,2.655392,-338015.736379
1189839.024844,-2.837798,3.397912,-318962.615918
1197878.477715,-2.658375,6.829593,-298828.784913
1205917.930585,-2.521690,6.836243,-277683.043285
1213957.383456,-2.588977,7.461131,-255597.648788
1221996.836326,-2.378027,6.186580,-232648.070091
1230036.289197,-2.117280,8.831078,-208912.728893
1238075.742068,-2.006455,6.580977,-184472.731945
1246115.194938,-1.814937,6.239102,-159411.593901
1254154.647809,-1.777787,6.183937,-133814.951933
1262194.100679,-1.504443,7.120053,-107770.273099
1270233.553550,-1.538604,7.297146,-81366.555458
1278273.006420,-1.273270,7.083147,-54694.023954
1286312.459291,-0.997938,8.940875,-27843.822098
1294351.912162,-0.918925,9.158091,-907.700528
1302391.365032,-0.751975,8.121984,26022.296522
1310430.817903,-0.745290,7.616390,52854.145744
1318470.270773,-0.417455,8.277763,79496.159215
1326509.723644,-0.346874,8.488592,105857.297706
1334549.176514,-0.082235,6.448477,131847.481774
1342588.629385,0.019343,8.304474,157377.899574
1350628.082256,0.248322,8.092843,182361.310345
1358667.535126,0.388905,4.742779,206712.342519
1366706.987997,0.617026,1.802463,230347.785447
1374746.440867,0.658236,2.823039,253186.873744
1382785.893738,0.699738,1.573938,275151.563269
1390825.346608,0.863754,0.303285,296166.797818
1398864.799479,0.847409,-0.514457,316160.765599
1406904.252349,1.089868,-2.884015,335065.144619
1414943.705220,1.189748,-0.717181,352815.336154
1422983.158091,1.366705,-1.611698,369350.685487
1431022.610961,1.352044,-5.549329,384614.689177
1439062.063832,1.395446,-5.627316,398555.188136
1447101.516702,1.539354,-8.310138,411124.545861
1455140.969573,1.531628,-9.094326,422279.811223
1463180.422443,1.535185,-12.398012,431982.865225
1471219.875314,1.536003,-11.111331,440200.551270
1479259.328185,1.737012,-13.689674,446904.788453
1487298.781055,1.715320,-13.896011,452072.667523
1495338.233926,1.795522,-16.622854,455686.529164
1503377.686796,1.758940,-15.952846,457734.024340
1511417.139667,1.723149,-18.943723,458208.156495
1519456.592537,1.663201,-20.420989,457107.305456
1527496.045408,1.673258,-19.048067,454435.232974
1535535.498279,1.540053,-23.214586,450201.069870
1543574.951149,1.595577,-23.445732,444419.284830
1551614.404020,1.575737,-26.304092,437109.634967
1559653.856890,1.539285,-25.015697,428297.098306
1567693.309761,1.258702,-28.126500,418011.788432
1575732.762631,1.213972,-34.946414,406288.851589
1583772.215502,1.193592,-30.484429,393168.346579
1591811.668373,1.204906,-30.269740,378695.107875
1599851.121243,1.048828,-35.250056,362918.592420
1607890.574114,0.893825,-32.384936,345892.710621
1615930.026984,0.776857,-34.918916,327675.642134
1623969.479855,0.631726,-36.874587,308329.637053
1632008.932725,0.421763,-38.518517,287920.803198
1640048.385596,0.324040,-38.553036,266518.880212
1648087.838467,0.204107,-38.857079,244197.001253
1656127.291337,0.150405,-39.891798,221031.443087
1664166.744208,-0.058182,-40.063201,197101.365444
1672206.197078,-0.308545,-39.931621,172488.540517
1680245.649949,-0.354993,-43.658569,147277.073531
1688285.102819,-0.516607,-43.106874,121553.115355
1696324.555690,-0.802769,-43.804092,95404.568102
1704364.008561,-0.963974,-43.772230,68920.784764
1712403.461431,-1.076669,-42.322636,42192.263878
1720442.914302,-1.280802,-43.908695,15310.340279
1728482.367172,-1.517822,-42.167591,-11633.126997
1736521.820043,-1.670239,-43.165492,-38546.068615
1744561.272913,-1.859137,-44.149221,-65336.519549
1752600.725784,-2.109189,-41.416879,-91912.933338
1760640.178655,-2.112868,-42.893636,-118184.494917
1768679.631525,-2.392909,-41.986887,-144061.430936
1776719.084396,-2.406131,-41.930953,-169455.316538
1784758.537266,-2.656498,-42.288867,-194279.377506
1792797.990137,-2.881613,-41.222174,-218448.786793
