Time,x,y
8039.452871,-0.302510,-2.831959
16078.905741,-0.395731,-2.881086
24118.358612,-0.571101,-2.636482
32157.811482,-0.881877,-2.699591
40197.264353,-1.049573,-2.601980
48236.717223,-1.122191,-2.613747
56276.170094,-1.332761,-2.399674
64315.622965,-1.325184,-2.284631
72355.075835,-1.487350,-2.224459
80394.528706,-1.788271,-2.524505
88433.981576,-1.863896,-1.916856
96473.434447,-1.986005,-1.681916
104512.887317,-1.926231,-1.914485
112552.340188,-2.235708,-1.664907
120591.793059,-2.262688,-1.407325
128631.245929,-2.495528,-1.250961
136670.698800,-2.727639,-1.292813
144710.151670,-2.559820,-1.116393
152749.604541,-2.634098,-1.102968
160789.057411,-2.578648,-0.718803
168828.510282,-2.713355,-0.941227
176867.963153,-2.885511,-0.655034
184907.416023,-2.891507,-0.691790
192946.868894,-2.812627,-0.418772
200986.321764,-2.939464,-0.166585
209025.774635,-2.859480,-0.168892
217065.227505,-2.895955,0.196417
225104.680376,-2.960725,0.382787
233144.133246,-2.999626,0.167598
241183.586117,-2.773693,0.279086
249223.038988,-2.715213,0.903512
257262.491858,-2.758297,1.124574
265301.944729,-2.723708,0.839894
273341.397599,-2.559617,0.983613
281380.850470,-2.588905,1.246896
289420.303340,-2.495129,1.532588
297459.756211,-2.478418,1.679362
305499.209082,-2.249083,1.644471
313538.661952,-2.078411,1.642090
321578.114823,-2.033547,1.748648
329617.567693,-1.798062,1.925755
337657.020564,-1.725335,2.049982
345696.473434,-1.676474,2.220161
353735.926305,-1.537109,2.250118
361775.379176,-1.297467,2.422988
369814.832046,-1.047273,2.457034
377854.284917,-1.162392,2.592836
385893.737787,-0.723278,2.493530
393933.190658,-0.740298,2.765975
401972.643528,-0.576302,2.660846
410012.096399,-0.402123,2.610481
418051.549270,-0.210406,2.740206
426091.002140,0.037187,2.558486
434130.455011,0.089811,2.620668
442169.907881,0.255653,2.682771
450209.360752,0.488130,2.866192
458248.813622,0.816329,2.559404
466288.266493,0.798826,2.477997
474327.719364,0.924616,2.604656
482367.172234,1.150410,2.260495
490406.625105,1.281234,2.464769
498446.077975,1.455426,2.190120
506485.530846,1.761788,2.091994
514524.983716,1.738418,2.306770
522564.436587,1.893272,2.034869
530603.889458,1.898267,2.087518
538643.342328,2.038990,1.739654
546682.795199,2.231159,1.993481
554722.248069,2.425007,1.505084
562761.700940,2.362303,1.200299
570801.153810,2.587914,1.332505
578840.606681,2.618497,0.886803
586880.059552,2.869491,1.104898
594919.512422,2.819072,0.913906
602958.965293,2.825079,0.695338
610998.418163,2.831148,0.561951
619037.871034,2.919206,0.284898
627077.323904,2.865300,0.345380
635116.776775,2.885493,0.041267
643156.229645,2.811847,-0.077448
651195.682516,2.878619,-0.392485
659235.135387,2.916913,-0.136909
667274.588257,2.732462,-0.404823
675314.041128,2.783511,-0.473612
683353.493998,2.773953,-0.961446
691392.946869,2.705145,-0.741865
699432.399739,2.569937,-1.513451
707471.852610,2.532322,-1.429924
715511.305481,2.551622,-1.350327
723550.758351,2.502157,-1.568165
731590.211222,2.309815,-1.590674
739629.664092,2.287754,-1.819064
747669.116963,2.048029,-1.934134
755708.569833,1.872781,-1.949486
763748.022704,1.859063,-1.673795
771787.475575,1.624510,-2.214005
779826.928445,1.550851,-2.327203
787866.381316,1.275713,-2.255355
795905.834186,1.284236,-2.301686
803945.287057,1.124971,-2.233062
811984.739927,0.864151,-2.475202
820024.192798,0.773331,-2.464625
828063.645669,0.660691,-2.528400
836103.098539,0.392818,-2.650448
844142.551410,0.368058,-2.706642
852182.004280,0.120465,-2.569232
860221.457151,0.040904,-2.705524
868260.910021,-0.116156,-2.619154
876300.362892,-0.622856,-2.528397
884339.815763,-0.648350,-2.800100
892379.268633,-0.813515,-2.667191
900418.721504,-0.707371,-2.364081
908458.174374,-1.042990,-2.290605
916497.627245,-1.072113,-2.468257
924537.080115,-1.232253,-2.409357
932576.532986,-1.400040,-2.106388
940615.985857,-1.674748,-1.913255
948655.438727,-1.627416,-2.053984
956694.891598,-2.044996,-1.975691
964734.344468,-1.921970,-1.996625
972773.797339,-2.137444,-1.656440
980813.250209,-2.398823,-1.810362
988852.703080,-2.395078,-1.330063
996892.155950,-2.516370,-1.488035
1004931.608821,-2.459696,-1.146294
1012971.061692,-2.605386,-1.041890
